index,style,rank,award,name,role,department,initiative,blurb
Allies,large,1,,Colin Liptrot,Team Leader,Environment Agency,,"Colin is a Team Leader at the Environment Agency. He is also the national co-lead for the Environment Agencyʼs LGBT allies network. In this role, he encourages staff to join the network and educate them about LGBT issues. He also helps to make the Environment Agency safe for staff to be themselves without fear or prejudice. 

Colin challenges negative behaviours and is a visible and vocal champion of equality in his agency. This makes a difference in his team and in the wider agency. 

Colin led the agencies activities for the “International Day Against Homophobia, Biphobia and Transphobia”. He is also an active ally in the wider community. He the Environment Agencyʼs activities at Sparkle in Manchester, and is active in LGBT youth activities around Manchester."
Allies,large,2,,Clare Moriarty,Permanent Secretary,"Department for Environment, Food and Rural Affairs",,"Clare is the Permanent Secretary of the Department for the Environment, Food and Rural Affairs. 

Clare has been a vocal and visible ally for transgender people and transgender issues in recent years. She  authentically shared her journey as a parent, supporting her transgender child. She has also been a visible ally at London Pride, during LGBT history month, and throughout the Civil Service. Clare has spoken at the a:gender conference and written powerful blog posts which have helped raise trans awareness in the Civil Service. She has also taken immediate steps to improve trans inclusion at Defra, such as introducing gender neutral facilities.

Clareʼs openness and inclusive approach has made her a strong role model for all staff and senior leaders, not only in her department, but across the Civil Service. Her authenticity and willingness to speak out has been refreshing and powerful."
Allies,large,3,,Hannah Hodge Waller,Learning and Development Apprentice,Office for National Statistics,,"Hannah works for the Office of National Statistics as a Learning and Development Apprentice. She has been a member of ONSʼs Friends of Spectrum ally network for over 3 years. She has been an enthusiastic member of the committee in that time.

Hannah has led learning and development activities to highlight LGBT issues across ONS. For example, she led workshops for the “International Day Against Homophobia, Biphobia and Transphobia”, and these workshops are now part of the ONS corporate training portfolio. Hannah invests significant time improving the knowledge of staff about the experiences of LGBT staff. Hannah also uses her volunteer time to support the ONSʼs activities at events like Pride Cymru. She has also been supporting other government departments and agencies establish their own ally networks. 

The work that she does has been helping to make ONS an inclusive place to work and demonstrates the need for allies at work."
Allies,small,4,,Sue Owen,Permanent Secretary; Civil Service Diversity Champion; and Civil Service LGBTI Champion,"Department for Culture, Media and Sport",,Sue is the Civil Service Diversity Champion and LGBT Champion. She has made a sustained contribution to the experience of LGBT civil servants over many years.
Allies,small,5,,Gareth Petty,"Director, Acas Wales",Acas (Advisory Conciliation and Arbitration Service),,Gareth actionʼs mean LGBT staff feel welcome at Acas Wales. He encouraged the creation of Acas Walesʼs first LGBT support network.
Allies,small,6,,Janet Hill,"Programme Director, Civil Service Disability Inclusion",Cabinet Office,,"Whilst leading the Civil Service Diversity and Inclusion team, Janet led the Talent Action Plan and unlocked funding for staff networks."
Allies,small,7,,Morgane Donse,"Head of International, Evidence and Engagement, LGBT team",Government Equalities Office,,"Morgane leads the Government Equalities Officeʼs work on international LGBT rights, working to support LGBT people around the world."
Allies,small,8,,Amelia Lawson,Executive Assistant,Homes and Communities Agency,,Amelia set up the Home and Communities Agency allies network in 2016 and is having a positive impact on the work of HCAʼs LGBT network.
Allies,small,9,,Andrew McCormick,"Project Lead, South-East and South London Team, Academies Regional Delivery Group",Department for Education,,Andrew led the Department for Educationʼs Stonewall Workplace Equality Index submission work for three years.
Allies,small,10,,Grace Moronfolu,Public Confidence and Accountability Manager,Crown Prosecution Service,,Grace has been championing black and minority ethnic LGBT staff at CPS. She organised a national event for CPS BAME staff.
